method,W,p_value,normal
PCA_2_DBSCAN_eps0.1_min_samples5,0.9898812394344563,0.9433660188835502,True
PCA_2_DBSCAN_eps0.2_min_samples5,0.9634974973355259,0.12456404790926467,True
PCA_2_DBSCAN_eps0.30000000000000004_min_samples5,0.7127993700372761,1.414835107354684e-08,False
PCA_2_DBSCAN_eps0.4_min_samples5,0.8898531868422387,0.0002258985415429227,False
PCA_2_DBSCAN_eps0.5_min_samples5,0.5708576934691101,7.365169553293683e-11,False
PCA_2_DBSCAN_eps0.6000000000000001_min_samples5,0.9753228341009091,0.3754171666940032,True
PCA_2_DBSCAN_eps0.7000000000000001_min_samples5,0.9327271368256546,0.007018611533898905,False
PCA_2_DBSCAN_eps0.8_min_samples5,0.988574256591176,0.9073491437103876,True
PCA_2_DBSCAN_eps0.9_min_samples5,0.9653085775391881,0.1482557312735271,True
PCA_2_DBSCAN_eps1.0_min_samples5,0.952743431441104,0.04427110445304967,False
PCA_2_GMM_n_components2_covariance_typefull_random_state42,0.9432879032159021,0.018213832813471855,False
PCA_2_Agglomerative_n_clusters2_linkageward,0.778123213040566,2.8469953412282836e-07,False
PCA_2_KMeans_n_clusters2_n_init10_random_state42,0.9701178277603753,0.23401434295047513,True
PCA_2_Spectral_n_clusters2_affinitynearest_neighbors_random_state42,0.9657707368009157,0.1549714662837151,True
PCA_2_GMM_n_components3_covariance_typefull_random_state42,0.985591942448187,0.7967333355603434,True
PCA_2_Agglomerative_n_clusters3_linkageward,0.9772207368842553,0.44161741230949086,True
PCA_2_KMeans_n_clusters3_n_init10_random_state42,0.9828353469376612,0.6760427858164959,True
PCA_2_Spectral_n_clusters3_affinitynearest_neighbors_random_state42,0.9639138553705912,0.12965899969848282,True
PCA_2_GMM_n_components4_covariance_typefull_random_state42,0.9738101186360782,0.32836954494296416,True
PCA_2_Agglomerative_n_clusters4_linkageward,0.9874488845394409,0.8695498894878824,True
PCA_2_KMeans_n_clusters4_n_init10_random_state42,0.9829120420311486,0.6794680440377308,True
PCA_2_Spectral_n_clusters4_affinitynearest_neighbors_random_state42,0.9512444637022521,0.03838572564843465,False
PCA_2_GMM_n_components5_covariance_typefull_random_state42,0.9916624896683609,0.9770660972015904,True
PCA_2_Agglomerative_n_clusters5_linkageward,0.9736297530903841,0.3230967739898008,True
PCA_2_KMeans_n_clusters5_n_init10_random_state42,0.9922595567779813,0.9844219952249648,True
PCA_2_Spectral_n_clusters5_affinitynearest_neighbors_random_state42,0.9861816530566684,0.8209870374592814,True
PCA_2_GMM_n_components6_covariance_typefull_random_state42,0.9674322602271608,0.1816157322069743,True
PCA_2_Agglomerative_n_clusters6_linkageward,0.9738324199813077,0.32902643830103373,True
PCA_2_KMeans_n_clusters6_n_init10_random_state42,0.9843759257040026,0.7444778477094932,True
PCA_2_Spectral_n_clusters6_affinitynearest_neighbors_random_state42,0.9858970311114128,0.8093905908865087,True
PCA_2_GMM_n_components7_covariance_typefull_random_state42,0.9636858039627813,0.1268435174429239,True
