method,W,p_value,normal
PCA_2_DBSCAN_eps0.1_min_samples5,0.9880408311054185,0.8901443390262359,True
PCA_2_DBSCAN_eps0.2_min_samples5,0.9525021065835615,0.04326425453418487,False
PCA_2_DBSCAN_eps0.30000000000000004_min_samples5,0.9700884790025717,0.23337297900385748,True
PCA_2_DBSCAN_eps0.4_min_samples5,0.9822076100668553,0.6480496548363233,True
PCA_2_DBSCAN_eps0.5_min_samples5,0.9453395107850856,0.022028845818555253,False
PCA_2_DBSCAN_eps0.6000000000000001_min_samples5,0.9328875055842722,0.00711865559612218,False
PCA_2_DBSCAN_eps0.7000000000000001_min_samples5,0.8664529687912998,4.4523581231784464e-05,False
PCA_2_DBSCAN_eps0.8_min_samples5,0.974619673758219,0.35291673489762565,True
PCA_2_DBSCAN_eps0.9_min_samples5,0.9840181005765254,0.7287117651645711,True
PCA_2_DBSCAN_eps1.0_min_samples5,0.9841522250569712,0.7346358536246524,True
PCA_2_GMM_n_components2_covariance_typefull_random_state42,0.7194127529196643,1.8777571681675748e-08,False
PCA_2_Agglomerative_n_clusters2_linkageward,0.6023406288295421,2.1101904038862158e-10,False
PCA_2_KMeans_n_clusters2_n_init10_random_state42,0.9742375241276298,0.34114902651228596,True
PCA_2_Spectral_n_clusters2_affinitynearest_neighbors_random_state42,0.8018320270786918,9.664568471045237e-07,False
PCA_2_GMM_n_components3_covariance_typefull_random_state42,0.9731261194812165,0.3087478680642797,True
PCA_2_Agglomerative_n_clusters3_linkageward,0.9823117237557426,0.6526837319992391,True
PCA_2_KMeans_n_clusters3_n_init10_random_state42,0.9669134271064659,0.17285790629076847,True
PCA_2_Spectral_n_clusters3_affinitynearest_neighbors_random_state42,0.9568801046307724,0.06580619960671424,True
PCA_2_GMM_n_components4_covariance_typefull_random_state42,0.9612220864178718,0.10002133742046532,True
PCA_2_Agglomerative_n_clusters4_linkageward,0.9824143791168205,0.6572572507136454,True
PCA_2_KMeans_n_clusters4_n_init10_random_state42,0.9785829882929248,0.4938721188599772,True
PCA_2_Spectral_n_clusters4_affinitynearest_neighbors_random_state42,0.9685188265211815,0.201335837682411,True
PCA_2_GMM_n_components5_covariance_typefull_random_state42,0.9221034265751018,0.0028113754076850048,False
PCA_2_Agglomerative_n_clusters5_linkageward,0.9886970561296153,0.911114706943632,True
PCA_2_KMeans_n_clusters5_n_init10_random_state42,0.9821264776558121,0.6444419935693007,True
PCA_2_Spectral_n_clusters5_affinitynearest_neighbors_random_state42,0.9548642552995357,0.054223377552274736,True
PCA_2_GMM_n_components6_covariance_typefull_random_state42,0.9283963370700351,0.004807686725543365,False
PCA_2_Agglomerative_n_clusters6_linkageward,0.9797805449628277,0.5427448456372825,True
PCA_2_KMeans_n_clusters6_n_init10_random_state42,0.9278670369774035,0.004592782776205722,False
PCA_2_Spectral_n_clusters6_affinitynearest_neighbors_random_state42,0.9356390022732928,0.009089733107555373,False
PCA_2_GMM_n_components7_covariance_typefull_random_state42,0.926617543977609,0.004124619029426468,False
PCA_2_Agglomerative_n_clusters7_linkageward,0.9740335035046913,0.3349986698020432,True
PCA_2_KMeans_n_clusters7_n_init10_random_state42,0.9741883032073227,0.33965682558828636,True
PCA_2_Spectral_n_clusters7_affinitynearest_neighbors_random_state42,0.9180900318468332,0.002012809616108297,False
PCA_2_GMM_n_components8_covariance_typefull_random_state42,0.9579411455253019,0.07288442811590606,True
PCA_2_Agglomerative_n_clusters8_linkageward,0.972966810778999,0.30432284071547655,True
PCA_2_KMeans_n_clusters8_n_init10_random_state42,0.9645381447714516,0.13768326158232316,True
PCA_2_Spectral_n_clusters8_affinitynearest_neighbors_random_state42,0.9411932953042823,0.01502357452608082,False
PCA_2_GMM_n_components9_covariance_typefull_random_state42,0.924750933120739,0.0035166500911315134,False
PCA_2_Agglomerative_n_clusters9_linkageward,0.9609135016512356,0.09708633525550507,True
PCA_2_KMeans_n_clusters9_n_init10_random_state42,0.9454738888913136,0.02230612649723088,False
PCA_2_Spectral_n_clusters9_affinitynearest_neighbors_random_state42,0.9692259144883166,0.21522763140638057,True
PCA_2_GMM_n_components10_covariance_typefull_random_state42,0.9353373706878572,0.008848110311441958,False
PCA_2_Agglomerative_n_clusters10_linkageward,0.9841892299567115,0.7362674238886193,True
PCA_2_KMeans_n_clusters10_n_init10_random_state42,0.8276464826387835,4.047250993216316e-06,False
PCA_2_Spectral_n_clusters10_affinitynearest_neighbors_random_state42,0.9773961543936793,0.4481315786607109,True
PCA_3_DBSCAN_eps0.1_min_samples5,0.9876921046416514,0.8781924785690478,True
PCA_3_DBSCAN_eps0.2_min_samples5,0.9354412546750897,0.008930556703241135,False
PCA_3_DBSCAN_eps0.30000000000000004_min_samples5,0.9820187846473862,0.6396586462571039,True
PCA_3_DBSCAN_eps0.4_min_samples5,0.8535108575894756,1.928265993118171e-05,False
PCA_3_DBSCAN_eps0.5_min_samples5,0.9435675467177047,0.01869045070505491,False
PCA_3_DBSCAN_eps0.6000000000000001_min_samples5,0.9655936856683681,0.15236463665577793,True
PCA_3_DBSCAN_eps0.7000000000000001_min_samples5,0.9773244999214371,0.44546279439302416,True
PCA_3_DBSCAN_eps0.8_min_samples5,0.9602054533364388,0.09067328301961818,True
